Job_Area,Job_Title,URL
Community Operations,"Automation Specialist, Monetization Integrity",https://www.facebook.com/careers/jobs/383291879199392/
People & Recruiting,Technical Sourcer,https://www.facebook.com/careers/jobs/2212717509041958/
Ads Marketing,"Client Solutions Manager, Digital Natives, French",https://www.facebook.com/careers/jobs/622276941535250/
Sales & Marketing,"Account Manager, DACH",https://www.facebook.com/careers/jobs/1000677716798277/
Community Operations,"Global Quality Analyst, Community Operations",https://www.facebook.com/careers/jobs/2173349106095296/
Global Sales - EMEA,"Sales Manager, Benelux",https://www.facebook.com/careers/jobs/730532087386412/
Community Operations,"Operations Manager, Market Operations, Indonesian market",https://www.facebook.com/careers/jobs/1198412076997232/
Finance,Technical Accounting Manager,https://www.facebook.com/careers/jobs/650159208830008/
Customer Operations,"Vendor Program Manager, Product and Services Operations",https://www.facebook.com/careers/jobs/1247308132117380/
G&A,Payroll Manager,https://www.facebook.com/careers/jobs/668832196877400/
HR,"Employee Relations Business Partner, EMEA",https://www.facebook.com/careers/jobs/871920263152449/
Media Operations,"Project Manager, General Support, Media Operations",https://www.facebook.com/careers/jobs/2818501648380216/
Community Operations,Head of Customer Care,https://www.facebook.com/careers/jobs/321785002058051/
Communications & Public Policy,"Public Policy Manager, Content",https://www.facebook.com/careers/jobs/1780446672102038/
Community Operations,"Early Response Team Lead, Risk & Response",https://www.facebook.com/careers/jobs/656993311487737/
Community Operations,"Market Specialist, Market Operations, Nepal",https://www.facebook.com/careers/jobs/404497026824197/
Data Center Site Services,Logistics Program Manager,https://www.facebook.com/careers/jobs/2484164044973825/
Community Operations,"Project Manager, Community Operations",https://www.facebook.com/careers/jobs/2620112668055519/
WhatsApp,"Learning Operations Specialist, WhatsApp",https://www.facebook.com/careers/jobs/395348747762514/
Legal,Data Protection Counsel,https://www.facebook.com/careers/jobs/579663742560591/
HR,"People Operations Manager, EMEA",https://www.facebook.com/careers/jobs/1141479392721358/
Community Operations,"Market Specialist, Market Operations, Pakistan (Pashto)",https://www.facebook.com/careers/jobs/286943728632788/
Online Operations,Head of Mobile Operator Support Engineering,https://www.facebook.com/careers/jobs/730774840658237/
